feature,importance
YYYY,0.0
FIPS_Combined,3.211133590291485e-08
GEO.id2,2.0124343697336504e-06
HC01_VC03,6.03402202658732e-05
HC02_VC03,3.0704436475263703e-07
HC03_VC03,6.782640939311099e-07
HC01_VC04,0.005437687097349957
HC02_VC04,4.7426620725797906e-05
HC03_VC04,7.21142020910804e-06
HC04_VC04,2.3395187056489956e-05
HC01_VC06,2.4385589763505387e-06
HC02_VC06,1.5564977079238951e-06
HC03_VC06,8.183928443273765e-09
HC04_VC06,1.0712142699792103e-06
HC01_VC07,1.3574074188830255e-07
HC02_VC07,2.583407454901765e-07
HC03_VC07,1.0969432825144037e-06
HC04_VC07,0.0004852789155513785
HC01_VC08,7.132289952637567e-07
HC02_VC08,2.729258974943424e-05
HC03_VC08,1.4753216302669166e-06
HC04_VC08,3.1813630799154695e-07
HC01_VC09,1.0550294764158617e-07
HC02_VC09,3.457714781536619e-05
HC03_VC09,4.710238699718904e-05
HC04_VC09,1.6469012116473681e-06
HC01_VC10,8.047423927375391e-06
HC02_VC10,1.5290300560044515e-05
HC03_VC10,1.527692912199187e-05
HC04_VC10,5.99732678704151e-06
HC01_VC11,1.0299491882213235e-05
HC02_VC11,0.00010365627028869416
HC03_VC11,1.3226512334997224e-06
HC04_VC11,6.746603885579615e-07
HC01_VC12,3.153195673999298e-05
HC02_VC12,2.50760033300898e-07
HC03_VC12,0.00012659982972735721
HC04_VC12,5.5180081316109194e-06
HC01_VC13,2.071696611523728e-06
HC02_VC13,1.4602522497026701e-08
HC03_VC13,9.347685470161166e-07
HC04_VC13,2.439485671712116e-06
HC01_VC14,3.752065764696744e-08
HC02_VC14,8.473355202206994e-05
HC03_VC14,2.675322639496352e-06
HC04_VC14,1.0276263876537864e-06
HC01_VC15,0.0191133649966357
HC02_VC15,3.016074260042671e-08
HC03_VC15,2.934371350267127e-07
HC04_VC15,6.7981061875748405e-06
HC01_VC17,0.00012744154166996352
HC02_VC17,2.0670848722950794e-07
HC03_VC17,1.4144151203597278e-09
HC04_VC17,2.6182542018414156e-06
HC01_VC18,5.416535037846688e-06
HC02_VC18,3.540428293474745e-06
HC03_VC18,8.925128139930385e-06
HC04_VC18,0.0019747864054503904
HC01_VC20,0.0018200628807182578
HC02_VC20,3.344385196373198e-09
HC01_VC21,0.0001361092778846047
HC02_VC21,2.3505921346426479e-07
HC01_VC25,0.019621134156835553
HC02_VC25,0.00034675045878993036
HC03_VC25,1.2849271986060702e-06
HC01_VC26,0.019941046454199012
HC02_VC26,0.06852490366855962
HC03_VC26,7.199209261215117e-06
HC04_VC26,8.056454191067782e-06
HC01_VC27,1.6062601452880328e-06
HC02_VC27,5.064599695179115e-05
HC03_VC27,8.282749767938148e-06
HC04_VC27,6.020785838647401e-06
HC01_VC28,5.390268875124113e-08
HC02_VC28,5.705308398918928e-05
HC03_VC28,1.1015946872810142e-05
HC04_VC28,6.712957335143679e-06
HC01_VC29,4.2752335305380554e-05
HC02_VC29,1.605595698431269e-05
HC03_VC29,1.2532074729755214e-08
HC04_VC29,6.886490268590739e-06
HC01_VC30,9.188268057294149e-07
HC02_VC30,3.980416883107519e-05
HC03_VC30,9.495710243922823e-05
HC04_VC30,0.00017330338567947426
HC01_VC31,0.0009841055546834046
HC02_VC31,0.0006111783456498011
HC03_VC31,0.00020730303006854332
HC04_VC31,6.616974575121289e-06
HC01_VC35,0.004467627297041045
HC03_VC35,0.00011624447555524013
HC01_VC36,0.01998548544771235
HC02_VC36,3.5343699738453234e-06
HC03_VC36,3.840152254829022e-06
HC04_VC36,1.0649764527677556e-05
HC01_VC37,0.0028343179556647884
HC02_VC37,7.523746207013186e-07
HC03_VC37,2.89253416008701e-05
HC04_VC37,0.00045549160140216215
HC01_VC38,4.2893462307083726e-05
HC02_VC38,3.495505073256144e-05
HC03_VC38,2.6554842119891043e-05
HC04_VC38,0.00017660913609562033
HC01_VC39,8.604477454514277e-06
HC02_VC39,0.0016266920703442201
HC03_VC39,1.2402197135822088e-06
HC04_VC39,2.477926982559007e-07
HC01_VC40,0.0003655316582635531
HC02_VC40,0.008497082979318046
HC03_VC40,2.503805978782726e-07
HC04_VC40,0.00013062349663662648
HC01_VC42,4.5872527662468314e-07
HC03_VC42,0.00045917819063283523
HC01_VC43,4.282114458611767e-05
HC02_VC43,1.282367625278129e-06
HC03_VC43,1.4245228409245207e-07
HC04_VC43,2.79566782095077e-08
HC01_VC44,4.56277427522418e-05
HC02_VC44,6.95078806642285e-06
HC03_VC44,4.666042083518404e-05
HC04_VC44,4.795620703736337e-07
HC01_VC45,7.957572431500887e-06
HC02_VC45,1.7334271533574118e-06
HC03_VC45,0.006793330429327596
HC04_VC45,4.1346166138914685e-05
HC01_VC46,3.62469897525295e-06
HC02_VC46,3.511368935099364e-08
HC03_VC46,0.00030216744295173524
HC04_VC46,8.450031199952314e-07
HC01_VC47,0.00013949846267346912
HC02_VC47,0.00022248271630615548
HC03_VC47,1.0396437704381114e-06
HC04_VC47,8.406827896016032e-07
HC01_VC51,2.720202130007247e-06
HC02_VC51,8.840174746796874e-06
HC03_VC51,0.06851167958713583
HC01_VC52,5.543674644921837e-06
HC02_VC52,0.00014775950859098385
HC03_VC52,3.1883003497744362e-06
HC01_VC53,5.77011430855848e-05
HC02_VC53,0.00022196566920252656
HC01_VC54,2.4043576627819547e-06
HC02_VC54,2.9800140642452544e-05
HC01_VC55,2.768180050441837e-06
HC02_VC55,5.168063939345586e-06
HC01_VC56,9.450575811250712e-06
HC02_VC56,7.187825478537033e-07
HC01_VC57,4.06715119611238e-05
HC02_VC57,1.1412947664186068e-05
HC01_VC61,3.296915230275226e-06
HC02_VC61,0.00047210851576123326
HC03_VC61,1.2167366585670214e-06
HC01_VC62,8.994418866172981e-05
HC02_VC62,0.00016116150434748524
HC03_VC62,6.827697906327484e-07
HC04_VC62,0.0017028584682304733
HC01_VC64,0.0005700602628219808
HC02_VC64,5.0957272351967446e-06
HC03_VC64,8.420623813379286e-07
HC04_VC64,0.0012080414562765126
HC01_VC65,8.993274843691762e-08
HC02_VC65,1.096795512528101e-05
HC03_VC65,4.5817530696496546e-05
HC04_VC65,1.8817867352482316e-07
HC01_VC66,1.1162411220136227e-07
HC02_VC66,1.1170083552382958e-06
HC03_VC66,2.5741156296243556e-05
HC04_VC66,1.1838688061287345e-05
HC01_VC67,2.8121653438601107e-05
HC02_VC67,4.0610162315864274e-05
HC03_VC67,0.0011866976267392835
HC04_VC67,1.2412583373940103e-05
HC01_VC69,0.019285067064744598
HC02_VC69,6.273591484278373e-06
HC03_VC69,1.1292148264504478e-07
HC01_VC70,4.7691363596640544e-06
HC02_VC70,1.4533824403927883e-05
HC03_VC70,2.409909509757328e-07
HC01_VC71,0.00033005544787767657
HC02_VC71,3.392584695337579e-08
HC03_VC71,1.1698546877057737e-05
HC01_VC75,0.06855549972740838
HC02_VC75,3.2517588311424416e-08
HC03_VC75,7.640115903548672e-06
HC01_VC76,0.020138344170610667
HC02_VC76,1.0516758421844733e-07
HC03_VC76,6.653144923458678e-07
HC04_VC76,1.1336381845983886e-07
HC01_VC77,0.000269579108191163
HC02_VC77,6.681803414103006e-05
HC03_VC77,0.00028210940310835226
HC04_VC77,1.9799767597379523e-05
HC01_VC78,0.0029052447180886744
HC02_VC78,1.2770351466293326e-05
HC03_VC78,0.0034536102713261024
HC04_VC78,3.2723114468449994e-09
HC01_VC79,8.449859918976613e-07
HC02_VC79,5.998026069549505e-05
HC03_VC79,0.00010225032349607135
HC04_VC79,1.3115101516711169e-05
HC01_VC80,3.058349403413882e-05
HC02_VC80,5.033702840442285e-05
HC03_VC80,0.0033761593634277385
HC04_VC80,2.81424179760211e-05
HC01_VC84,0.004868819132227771
HC03_VC84,1.9614003300166067e-08
HC01_VC85,1.7676495117452755e-07
HC02_VC85,9.682079272493702e-06
HC03_VC85,1.1017606004591716e-05
HC04_VC85,1.3689903794498527e-06
HC01_VC86,5.5851757507444024e-05
HC02_VC86,1.5573327554740563e-08
HC03_VC86,7.24901584403782e-06
HC04_VC86,2.768080757204873e-05
HC01_VC87,1.3347867991313784e-06
HC02_VC87,2.8000544311268383e-07
HC03_VC87,8.547592759290968e-07
HC04_VC87,2.4614192777604895e-07
HC01_VC88,2.963957783041097e-07
HC02_VC88,0.0002106589677702086
HC03_VC88,6.528578819362511e-06
HC04_VC88,3.6707496617873878e-06
HC01_VC89,1.832399044290144e-06
HC02_VC89,6.1030330725812395e-06
HC03_VC89,0.000349788804828872
HC04_VC89,5.845253134177915e-07
HC01_VC90,1.4223012470568377e-06
HC02_VC90,5.414326892078875e-05
HC03_VC90,1.9907849468046587e-06
HC04_VC90,3.611677748009348e-07
HC01_VC91,1.0405438025835927e-07
HC02_VC91,5.006160603574656e-07
HC03_VC91,1.352591975896951e-06
HC04_VC91,0.0004654486506783376
HC03_VC93,1.8584112357051555e-07
HC04_VC93,1.9320042588955958e-06
HC03_VC94,2.0680874135558265e-07
HC04_VC94,1.5185704412414008e-05
HC01_VC98,1.5693528940940314e-07
HC02_VC98,3.4237584839495663e-06
HC03_VC98,1.796552845152131e-06
HC01_VC99,0.0004638928842963211
HC02_VC99,1.6379134439254105e-05
HC03_VC99,1.2976463756129563e-05
HC04_VC99,1.5787640967936452e-05
HC01_VC117,5.418469125572826e-08
HC02_VC117,0.06851230744228903
HC03_VC117,0.019946102802725043
HC01_VC118,0.003496746959786335
HC02_VC118,3.5655406876849836e-05
HC03_VC118,4.415511095758254e-06
HC04_VC118,0.00010693850738366355
HC01_VC119,0.0005622804532231563
HC02_VC119,1.3657667048641971e-05
HC03_VC119,1.8693684369214462e-06
HC04_VC119,4.4970685310329275e-05
HC01_VC120,0.01928623258924455
HC02_VC120,2.786642766485862e-05
HC03_VC120,2.174706879434359e-05
HC04_VC120,1.5121388483271694e-06
HC01_VC121,0.0005014575285695996
HC02_VC121,1.6711478927712617e-06
HC03_VC121,0.000472770347424982
HC04_VC121,8.342672523109733e-09
