,feature,importance
0,FIPS_Combined,0.0
1,id2,0.0
2,HC01_VC03,0.03277650214077085
3,HC01_VC04,0.008290966836507053
4,HC01_VC06,0.0008964856915649736
5,HC01_VC07,0.0
6,HC01_VC08,0.0
7,HC01_VC09,0.0
8,HC01_VC10,0.0
9,HC01_VC11,0.019050926609092526
10,HC01_VC119,0.0
11,HC01_VC12,0.002630163509304668
12,HC01_VC120,0.0
13,HC01_VC121,0.0
14,HC01_VC122,0.0
15,HC01_VC123,0.0
16,HC01_VC124,0.0
17,HC01_VC13,0.02369857160170561
18,HC01_VC130,0.1684999161780494
19,HC01_VC131,0.0007829096644197301
20,HC01_VC132,0.0
21,HC01_VC133,0.0
22,HC01_VC134,0.0
23,HC01_VC14,0.0
24,HC01_VC140,0.0
25,HC01_VC146,0.0
26,HC01_VC150,0.0
27,HC01_VC151,0.0
28,HC01_VC156,0.0
29,HC01_VC160,0.0
30,HC01_VC161,0.0
31,HC01_VC162,0.0
32,HC01_VC166,0.0007369357541621277
33,HC01_VC17,0.006307648747825108
34,HC01_VC170,0.007066015220005718
35,HC01_VC171,0.0
36,HC01_VC172,0.0
37,HC01_VC173,0.0
38,HC01_VC174,0.004768696178762877
39,HC01_VC175,0.0
40,HC01_VC176,0.002699355435843433
41,HC01_VC177,0.0
42,HC01_VC178,0.0
43,HC01_VC18,0.010979366062970723
44,HC01_VC185,0.0074537966134355545
45,HC01_VC186,0.0
46,HC01_VC187,0.0
47,HC01_VC188,0.0
48,HC01_VC189,0.0
49,HC01_VC190,0.0
50,HC01_VC191,0.0
51,HC01_VC192,0.0
52,HC01_VC193,0.0
53,HC01_VC194,0.0
54,HC01_VC195,0.0
55,HC01_VC196,0.0
56,HC01_VC197,0.0
57,HC01_VC198,0.0
58,HC01_VC199,0.0
59,HC01_VC200,0.0
60,HC01_VC201,0.0
61,HC01_VC202,0.00030767518843246677
62,HC01_VC203,0.0
63,HC01_VC204,0.0
64,HC01_VC205,0.0
65,HC01_VC206,0.00041832112081412225
66,HC01_VC207,0.0
67,HC01_VC208,0.0
68,HC01_VC209,0.0
69,HC01_VC21,0.0
70,HC01_VC26,0.0
71,HC01_VC27,0.0011312007483922143
72,HC01_VC28,0.0
73,HC01_VC29,0.0021818603639753346
74,HC01_VC30,0.003308437816353662
75,HC01_VC31,0.0
76,HC01_VC36,0.00033057976675491364
77,HC01_VC37,0.0
78,HC01_VC38,0.0
79,HC01_VC39,0.002070704622820118
80,HC01_VC40,0.0
81,HC01_VC43,0.007766523127111154
82,HC01_VC44,0.0015082281710950263
83,HC01_VC45,0.0
84,HC01_VC46,0.0
85,HC01_VC47,0.0
86,HC01_VC62,0.0
87,HC01_VC65,0.007670799969576345
88,HC01_VC66,0.02165892589477388
89,HC01_VC67,0.0
90,HC01_VC70,0.0424971294491167
91,HC01_VC71,0.3267324344955598
92,HC01_VC76,0.0
93,HC01_VC77,0.0
94,HC01_VC78,0.0
95,HC01_VC79,0.0009788734261994055
96,HC01_VC80,0.0
97,HC01_VC85,0.0
98,HC01_VC86,0.00048390974715932245
99,HC01_VC87,0.0
100,HC01_VC88,0.03297043417904833
101,HC01_VC89,0.0
102,HC01_VC90,0.0
103,HC01_VC91,0.0
104,HC02_VC03,0.018247126993622104
105,HC02_VC04,0.0
106,HC02_VC06,0.002605878976850613
107,HC02_VC07,0.0
108,HC02_VC08,0.0
109,HC02_VC09,0.0
110,HC02_VC10,0.0
111,HC02_VC11,0.0
112,HC02_VC119,0.0
113,HC02_VC12,0.015794713002428212
114,HC02_VC120,0.0
115,HC02_VC121,0.0
116,HC02_VC122,0.007853249831493747
117,HC02_VC123,0.0
118,HC02_VC124,0.0003166485721787453
119,HC02_VC13,0.0
120,HC02_VC131,0.0024287334712116714
121,HC02_VC132,0.0
122,HC02_VC133,0.0
123,HC02_VC134,0.0
124,HC02_VC14,0.0
125,HC02_VC140,0.0023521558450014927
126,HC02_VC146,0.0
127,HC02_VC150,0.0003141310386315195
128,HC02_VC151,0.0
129,HC02_VC156,0.0
130,HC02_VC160,0.0
131,HC02_VC161,0.0006701712243577699
132,HC02_VC162,0.0
133,HC02_VC17,0.009594807296220993
134,HC02_VC171,0.0
135,HC02_VC172,0.0
136,HC02_VC173,0.0
137,HC02_VC174,0.012101383381833369
138,HC02_VC175,0.0
139,HC02_VC176,0.0
140,HC02_VC177,0.0
141,HC02_VC178,0.0
142,HC02_VC18,0.0
143,HC02_VC186,0.0
144,HC02_VC187,0.0
145,HC02_VC188,0.0
146,HC02_VC189,0.0
147,HC02_VC190,0.0
148,HC02_VC191,0.0
149,HC02_VC192,0.0
150,HC02_VC193,0.002035018330456413
151,HC02_VC194,0.001172850499315038
152,HC02_VC195,0.0
153,HC02_VC196,0.0
154,HC02_VC197,0.00029210356055434626
155,HC02_VC198,0.0
156,HC02_VC199,0.0009237312414990281
157,HC02_VC200,0.0
158,HC02_VC201,0.0
159,HC02_VC202,0.0
160,HC02_VC203,0.00015216691795144792
161,HC02_VC204,0.002877223119146517
162,HC02_VC205,0.0
163,HC02_VC206,0.00034703914912879915
164,HC02_VC207,0.0
165,HC02_VC208,0.0015340673261320954
166,HC02_VC209,0.0
167,HC02_VC21,0.0
168,HC02_VC26,0.0
169,HC02_VC27,0.0015383071103519867
170,HC02_VC28,0.0
171,HC02_VC29,0.031166065208233958
172,HC02_VC30,0.01651258382367483
173,HC02_VC31,0.0
174,HC02_VC37,0.0
175,HC02_VC38,0.0
176,HC02_VC39,0.0
177,HC02_VC40,0.0
178,HC02_VC44,0.0
179,HC02_VC45,0.0
180,HC02_VC46,0.0
181,HC02_VC47,0.0
182,HC02_VC62,0.0
183,HC02_VC65,0.0
184,HC02_VC66,0.0
185,HC02_VC67,0.0
186,HC02_VC70,0.0
187,HC02_VC71,0.0
188,HC02_VC76,0.0
189,HC02_VC77,0.00788667997006037
190,HC02_VC78,0.0005106583071560412
191,HC02_VC79,0.0
192,HC02_VC80,0.0
193,HC02_VC86,0.034623434236040654
194,HC02_VC87,0.0
195,HC02_VC88,0.0
196,HC02_VC89,0.0
197,HC02_VC90,0.0
198,HC02_VC91,0.0
199,HC03_VC03,0.01099556248871432
200,HC03_VC04,0.006361675557612846
201,HC03_VC06,0.0
202,HC03_VC07,0.0
203,HC03_VC08,0.0
204,HC03_VC09,0.0
205,HC03_VC10,0.0
206,HC03_VC11,0.0
207,HC03_VC119,0.0
208,HC03_VC12,0.0
209,HC03_VC120,0.0
210,HC03_VC121,0.0
211,HC03_VC122,0.0
212,HC03_VC123,0.0
213,HC03_VC124,0.0
214,HC03_VC13,0.0
215,HC03_VC130,0.00042365567550413694
216,HC03_VC131,0.0
217,HC03_VC132,0.0
218,HC03_VC133,0.0
219,HC03_VC134,0.0
220,HC03_VC14,0.0
221,HC03_VC146,0.0
222,HC03_VC17,0.0030710032191004055
223,HC03_VC170,0.0
224,HC03_VC171,0.0
225,HC03_VC172,0.0
226,HC03_VC173,0.0
227,HC03_VC174,0.0007374028224332944
228,HC03_VC175,0.0
229,HC03_VC176,0.0
230,HC03_VC177,0.0
231,HC03_VC178,0.0
232,HC03_VC18,0.0
233,HC03_VC185,0.0
234,HC03_VC186,0.0
235,HC03_VC187,0.0
236,HC03_VC188,0.0
237,HC03_VC189,0.0
238,HC03_VC190,0.0
239,HC03_VC191,0.01590728905112532
240,HC03_VC192,0.0
241,HC03_VC193,0.0
242,HC03_VC194,0.0022097789680982903
243,HC03_VC195,0.0
244,HC03_VC196,0.0003390217793542411
245,HC03_VC197,0.0
246,HC03_VC198,0.0
247,HC03_VC199,0.0
248,HC03_VC200,0.0
249,HC03_VC201,0.0
250,HC03_VC202,0.0
251,HC03_VC203,0.0007679644593717156
252,HC03_VC204,0.0
253,HC03_VC205,0.0
254,HC03_VC206,0.0
255,HC03_VC207,0.0
256,HC03_VC208,0.0
257,HC03_VC209,0.0
258,HC03_VC26,0.0
259,HC03_VC27,0.0
260,HC03_VC28,0.0
261,HC03_VC29,0.0
262,HC03_VC30,0.0
263,HC03_VC31,0.0
264,HC03_VC36,0.0
265,HC03_VC37,0.0
266,HC03_VC38,0.0
267,HC03_VC39,0.0
268,HC03_VC40,0.0
269,HC03_VC43,0.00806534431822028
270,HC03_VC44,0.0
271,HC03_VC45,0.0
272,HC03_VC46,0.0
273,HC03_VC47,0.0
274,HC03_VC62,0.0
275,HC03_VC65,0.0
276,HC03_VC66,0.0019957793513702
277,HC03_VC67,0.0
278,HC03_VC70,0.0
279,HC03_VC76,0.0
280,HC03_VC77,0.0
281,HC03_VC78,0.0006588311638249126
282,HC03_VC79,0.0
283,HC03_VC80,0.0
284,HC03_VC85,0.0
285,HC03_VC86,0.0
286,HC03_VC87,0.0
287,HC03_VC88,0.0
288,HC03_VC89,0.0006130279843868255
289,HC03_VC90,0.0
290,HC03_VC91,0.0
291,HC04_VC04,0.0
292,HC04_VC06,0.0
293,HC04_VC07,0.0
294,HC04_VC08,0.0
295,HC04_VC09,0.0
296,HC04_VC10,0.0
297,HC04_VC11,0.0
298,HC04_VC12,0.0
299,HC04_VC120,0.0
300,HC04_VC121,0.0
301,HC04_VC122,0.0
302,HC04_VC123,0.0
303,HC04_VC124,0.0
304,HC04_VC13,0.0
305,HC04_VC131,0.0
306,HC04_VC132,0.0
307,HC04_VC133,0.0
308,HC04_VC134,0.0
309,HC04_VC14,0.0
310,HC04_VC17,0.0
311,HC04_VC171,0.0
312,HC04_VC172,0.0
313,HC04_VC173,0.0
314,HC04_VC174,0.0
315,HC04_VC175,0.0
316,HC04_VC176,0.0
317,HC04_VC177,0.0
318,HC04_VC178,0.0
319,HC04_VC18,0.0
320,HC04_VC186,0.0
321,HC04_VC187,0.0
322,HC04_VC188,0.0
323,HC04_VC189,0.0
324,HC04_VC190,0.0
325,HC04_VC191,0.0
326,HC04_VC192,0.0
327,HC04_VC193,0.0
328,HC04_VC194,0.0
329,HC04_VC195,0.0
330,HC04_VC196,0.0
331,HC04_VC197,0.0
332,HC04_VC198,0.0
333,HC04_VC199,0.0
334,HC04_VC200,0.0
335,HC04_VC201,0.0
336,HC04_VC202,0.0
337,HC04_VC203,0.0
338,HC04_VC204,0.0
339,HC04_VC205,0.0
340,HC04_VC206,0.0
341,HC04_VC207,0.0
342,HC04_VC208,0.0
343,HC04_VC209,0.0
344,HC04_VC27,0.0
345,HC04_VC28,0.0
346,HC04_VC29,0.0
347,HC04_VC30,0.0
348,HC04_VC31,0.0
349,HC04_VC37,0.0
350,HC04_VC38,0.0
351,HC04_VC39,0.0
352,HC04_VC40,0.0
353,HC04_VC44,0.0
354,HC04_VC45,0.0
355,HC04_VC46,0.0
356,HC04_VC47,0.0
357,HC04_VC65,0.016702883681851414
358,HC04_VC66,0.006888750447609632
359,HC04_VC67,0.0
360,HC04_VC77,0.0
361,HC04_VC78,0.0
362,HC04_VC79,0.0
363,HC04_VC80,0.0
364,HC04_VC86,0.0
365,HC04_VC87,0.0
366,HC04_VC88,0.0
367,HC04_VC89,0.0
368,HC04_VC90,0.0
369,HC04_VC91,0.0
370,YYYY,0.0005818266298213077
371,COUNTY_ACCOMACK,0.0
372,COUNTY_ADAIR,0.0
373,COUNTY_ADAMS,0.0
374,COUNTY_ALBEMARLE,0.0
375,COUNTY_ALEXANDRIA CITY,0.0
376,COUNTY_ALLEGHANY,0.0
377,COUNTY_ALLEGHENY,0.0
378,COUNTY_ALLEN,0.0
379,COUNTY_AMELIA,0.0
380,COUNTY_AMHERST,0.0
381,COUNTY_ANDERSON,0.0
382,COUNTY_APPOMATTOX,0.0
383,COUNTY_ARLINGTON,0.0
384,COUNTY_ARMSTRONG,0.0
385,COUNTY_ASHLAND,0.0
386,COUNTY_ASHTABULA,0.0
387,COUNTY_ATHENS,0.0
388,COUNTY_AUGLAIZE,0.0
389,COUNTY_AUGUSTA,0.0
390,COUNTY_BALLARD,0.0
391,COUNTY_BARBOUR,0.0
392,COUNTY_BARREN,0.0
393,COUNTY_BATH,0.0
394,COUNTY_BEAVER,0.0
395,COUNTY_BEDFORD,0.0
396,COUNTY_BEDFORD CITY,0.0
397,COUNTY_BELL,0.0
398,COUNTY_BELMONT,0.0
399,COUNTY_BERKELEY,0.0
400,COUNTY_BERKS,0.0
401,COUNTY_BLAIR,0.0
402,COUNTY_BLAND,0.0
403,COUNTY_BOONE,0.0
404,COUNTY_BOTETOURT,0.0
405,COUNTY_BOURBON,0.0
406,COUNTY_BOYD,0.0
407,COUNTY_BOYLE,0.0
408,COUNTY_BRACKEN,0.0
409,COUNTY_BRADFORD,0.0
410,COUNTY_BRAXTON,0.0
411,COUNTY_BREATHITT,0.0
412,COUNTY_BRECKINRIDGE,0.0
413,COUNTY_BRISTOL,0.0
414,COUNTY_BROOKE,0.0
415,COUNTY_BROWN,0.0
416,COUNTY_BRUNSWICK,0.0
417,COUNTY_BUCHANAN,0.0
418,COUNTY_BUCKINGHAM,0.0
419,COUNTY_BUCKS,0.0
420,COUNTY_BUENA VISTA CITY,0.0
421,COUNTY_BULLITT,0.0
422,COUNTY_BUTLER,0.0
423,COUNTY_CABELL,0.0
424,COUNTY_CALDWELL,0.0
425,COUNTY_CALHOUN,0.0
